iteration=9,error=11.493930,theta1=0.036451,theta2=0.427640
iteration=10,error=10.613085,theta1=0.038764,theta2=0.457860
iteration=11,error=9.871056,theta1=0.040829,theta2=0.485601
iteration=12,error=9.245953,theta1=0.042665,theta2=0.511067
iteration=13,error=8.719340,theta1=0.044291,theta2=0.534445
iteration=14,error=8.275685,theta1=0.045725,theta2=0.555906
iteration=15,error=7.901908,theta1=0.046982,theta2=0.575609
iteration=16,error=7.586989,theta1=0.048077,theta2=0.593698
iteration=17,error=7.321647,theta1=0.049024,theta2=0.610305
iteration=18,error=7.098065,theta1=0.049834,theta2=0.625552
iteration=19,error=6.909658,theta1=0.050519,theta2=0.639552
iteration=20,error=6.750879,theta1=0.051089,theta2=0.652407
iteration=21,error=6.617057,theta1=0.051554,theta2=0.664210
iteration=22,error=6.504255,theta1=0.051921,theta2=0.675049
iteration=23,error=6.409160,theta1=0.052200,theta2=0.685003
iteration=24,error=6.328979,theta1=0.052398,theta2=0.694144
iteration=25,error=6.261360,theta1=0.052520,theta2=0.702539
iteration=26,error=6.204324,theta1=0.052574,theta2=0.710250
iteration=27,error=6.156200,theta1=0.052565,theta2=0.717332
iteration=28,error=6.115584,theta1=0.052499,theta2=0.723839
iteration=29,error=6.081291,theta1=0.052379,theta2=0.729816
iteration=30,error=6.052326,theta1=0.052211,theta2=0.735307
iteration=31,error=6.027847,theta1=0.051998,theta2=0.740353
iteration=32,error=6.007147,theta1=0.051744,theta2=0.744990
iteration=33,error=5.989631,theta1=0.051452,theta2=0.749252
iteration=34,error=5.974796,theta1=0.051126,theta2=0.753169
iteration=35,error=5.962220,theta1=0.050768,theta2=0.756769
iteration=36,error=5.951546,theta1=0.050381,theta2=0.760080
iteration=37,error=5.942475,theta1=0.049968,theta2=0.763124
iteration=38,error=5.934753,theta1=0.049530,theta2=0.765924
iteration=39,error=5.928169,theta1=0.049070,theta2=0.768499
iteration=40,error=5.922542,theta1=0.048589,theta2=0.770869
iteration=41,error=5.917723,theta1=0.048090,theta2=0.773050
iteration=42,error=5.913582,theta1=0.047573,theta2=0.775057
iteration=43,error=5.910015,theta1=0.047040,theta2=0.776905
iteration=44,error=5.906929,theta1=0.046493,theta2=0.778607
iteration=45,error=5.904250,theta1=0.045932,theta2=0.780175
iteration=46,error=5.901913,theta1=0.045359,theta2=0.781619
iteration=47,error=5.899864,theta1=0.044775,theta2=0.782951
iteration=48,error=5.898058,theta1=0.044181,theta2=0.784179
iteration=49,error=5.896456,theta1=0.043577,theta2=0.785312
iteration=50,error=5.895027,theta1=0.042965,theta2=0.786358
iteration=51,error=5.893743,theta1=0.042344,theta2=0.787324
iteration=52,error=5.892581,theta1=0.041717,theta2=0.788216
iteration=53,error=5.891523,theta1=0.041083,theta2=0.789040
iteration=54,error=5.890551,theta1=0.040442,theta2=0.789803
iteration=55,error=5.889652,theta1=0.039796,theta2=0.790509
iteration=56,error=5.888815,theta1=0.039145,theta2=0.791162
iteration=57,error=5.888030,theta1=0.038489,theta2=0.791768
iteration=58,error=5.887289,theta1=0.037829,theta2=0.792330
iteration=59,error=5.886585,theta1=0.037165,theta2=0.792851
iteration=60,error=5.885912,theta1=0.036498,theta2=0.793336
iteration=61,error=5.885265,theta1=0.035827,theta2=0.793786
iteration=62,error=5.884640,theta1=0.035153,theta2=0.794205
iteration=63,error=5.884034,theta1=0.034477,theta2=0.794596
iteration=64,error=5.883444,theta1=0.033798,theta2=0.794960
iteration=65,error=5.882867,theta1=0.033116,theta2=0.795300
iteration=66,error=5.882301,theta1=0.032433,theta2=0.795618
iteration=67,error=5.881745,theta1=0.031747,theta2=0.795916
iteration=68,error=5.881197,theta1=0.031060,theta2=0.796195
iteration=69,error=5.880656,theta1=0.030372,theta2=0.796457
iteration=70,error=5.880120,theta1=0.029681,theta2=0.796703
iteration=71,error=5.879589,theta1=0.028990,theta2=0.796935
iteration=72,error=5.879063,theta1=0.028297,theta2=0.797154
iteration=73,error=5.878539,theta1=0.027603,theta2=0.797360
iteration=74,error=5.878019,theta1=0.026909,theta2=0.797556
iteration=75,error=5.877502,theta1=0.026213,theta2=0.797741
iteration=76,error=5.876986,theta1=0.025516,theta2=0.797916
iteration=77,error=5.876473,theta1=0.024819,theta2=0.798084
iteration=78,error=5.875960,theta1=0.024121,theta2=0.798243
iteration=79,error=5.875450,theta1=0.023423,theta2=0.798395
iteration=80,error=5.874940,theta1=0.022724,theta2=0.798540
iteration=81,error=5.874432,theta1=0.022024,theta2=0.798679
iteration=82,error=5.873924,theta1=0.021324,theta2=0.798813
iteration=83,error=5.873418,theta1=0.020624,theta2=0.798941
iteration=84,error=5.872912,theta1=0.019923,theta2=0.799065
iteration=85,error=5.872406,theta1=0.019222,theta2=0.799184
iteration=86,error=5.871901,theta1=0.018521,theta2=0.799299
iteration=87,error=5.871397,theta1=0.017820,theta2=0.799411
iteration=88,error=5.870893,theta1=0.017118,theta2=0.799519
iteration=89,error=5.870389,theta1=0.016416,theta2=0.799624
iteration=90,error=5.869886,theta1=0.015714,theta2=0.799726
iteration=91,error=5.869383,theta1=0.015012,theta2=0.799826
iteration=92,error=5.868880,theta1=0.014309,theta2=0.799924
iteration=93,error=5.868378,theta1=0.013607,theta2=0.800019
iteration=94,error=5.867876,theta1=0.012905,theta2=0.800112
iteration=95,error=5.867374,theta1=0.012202,theta2=0.800203
iteration=96,error=5.866872,theta1=0.011500,theta2=0.800293
iteration=97,error=5.866371,theta1=0.010797,theta2=0.800381
iteration=98,error=5.865870,theta1=0.010094,theta2=0.800467
iteration=99,error=5.865369,theta1=0.009392,theta2=0.800553
iteration=100,error=5.864868,theta1=0.008689,theta2=0.800637
iteration=101,error=5.864368,theta1=0.007987,theta2=0.800720
iteration=102,error=5.863868,theta1=0.007284,theta2=0.800802
iteration=103,error=5.863368,theta1=0.006581,theta2=0.800883
iteration=104,error=5.862868,theta1=0.005879,theta2=0.800963
iteration=105,error=5.862368,theta1=0.005176,theta2=0.801042
iteration=106,error=5.861869,theta1=0.004474,theta2=0.801121
iteration=107,error=5.861369,theta1=0.003772,theta2=0.801199
iteration=108,error=5.860870,theta1=0.003070,theta2=0.801276
iteration=109,error=5.860371,theta1=0.002367,theta2=0.801353
iteration=110,error=5.859873,theta1=0.001665,theta2=0.801429
iteration=111,error=5.859374,theta1=0.000963,theta2=0.801505
iteration=112,error=5.858876,theta1=0.000261,theta2=0.801580
iteration=113,error=5.858378,theta1=-0.000441,theta2=0.801655
iteration=114,error=5.857880,theta1=-0.001142,theta2=0.801730
iteration=115,error=5.857382,theta1=-0.001844,theta2=0.801804
iteration=116,error=5.856884,theta1=-0.002546,theta2=0.801878
iteration=117,error=5.856387,theta1=-0.003247,theta2=0.801951
iteration=118,error=5.855889,theta1=-0.003949,theta2=0.802025
iteration=119,error=5.855392,theta1=-0.004650,theta2=0.802098
iteration=120,error=5.854895,theta1=-0.005351,theta2=0.802171
iteration=121,error=5.854399,theta1=-0.006052,theta2=0.802243
iteration=122,error=5.853902,theta1=-0.006753,theta2=0.802316
iteration=123,error=5.853406,theta1=-0.007454,theta2=0.802388
iteration=124,error=5.852910,theta1=-0.008155,theta2=0.802460
iteration=125,error=5.852414,theta1=-0.008855,theta2=0.802532
iteration=126,error=5.851918,theta1=-0.009556,theta2=0.802604
iteration=127,error=5.851422,theta1=-0.010256,theta2=0.802676
iteration=128,error=5.850927,theta1=-0.010956,theta2=0.802747
iteration=129,error=5.850431,theta1=-0.011657,theta2=0.802819
iteration=130,error=5.849936,theta1=-0.012357,theta2=0.802890
iteration=131,error=5.849441,theta1=-0.013057,theta2=0.802961
iteration=132,error=5.848946,theta1=-0.013756,theta2=0.803033
iteration=133,error=5.848452,theta1=-0.014456,theta2=0.803104
iteration=134,error=5.847957,theta1=-0.015156,theta2=0.803175
iteration=135,error=5.847463,theta1=-0.015855,theta2=0.803246
iteration=136,error=5.846969,theta1=-0.016554,theta2=0.803316
iteration=137,error=5.846475,theta1=-0.017254,theta2=0.803387
iteration=138,error=5.845982,theta1=-0.017953,theta2=0.803458
iteration=139,error=5.845488,theta1=-0.018652,theta2=0.803529
iteration=140,error=5.844995,theta1=-0.019351,theta2=0.803599
iteration=141,error=5.844502,theta1=-0.020049,theta2=0.803670
iteration=142,error=5.844009,theta1=-0.020748,theta2=0.803740
iteration=143,error=5.843516,theta1=-0.021446,theta2=0.803811
iteration=144,error=5.843023,theta1=-0.022145,theta2=0.803881
